"nombre","anio","mes","total"
"Canal 10 de Cordoba","2014","10","652"
"Canal 10 de Cordoba","2014","9","652"
"Canal 10 de Cordoba","2013","10","634"
"Canal 10 de Cordoba","2014","11","544"
"Canal 10 de Cordoba","2014","12","534"
"Canal 10 de Cordoba","2014","8","498"
"Canal 10 de Cordoba","2013","8","472"
"Canal 10 de Cordoba","2014","3","471"
"Canal 10 de Cordoba","2013","11","453"
"Canal 10 de Cordoba","2014","4","453"
"Canal 10 de Cordoba","2013","9","452"
"Canal 10 de Cordoba","2014","5","409"
"Canal 10 de Cordoba","2014","7","401"
"Canal 12 Blog","2014","9","392"
"Canal 10 de Cordoba","2014","6","387"
"Canal 12 Blog","2014","12","379"
"Canal 10 de Cordoba","2013","12","361"
"Canal 12 Blog","2014","10","347"
"Canal 10 de Cordoba","2014","2","335"
"Canal 12 Blog","2014","11","318"
"Canal 12 Blog","2014","7","272"
"Canal 12 Blog","2014","8","235"
"Canal 12 Blog","2014","6","182"
"Canal 10 de Cordoba","2014","1","178"
"Canal 12 Blog","2014","5","162"
"Canal 10 de Cordoba","2013","7","150"
"CVA Medios","2013","10","112"
"Canal 12 Blog","2014","4","93"
"Gobierno de Cordoba Argentina","2014","10","93"
"CVA Medios","2013","9","93"
"Gobierno de Cordoba Argentina","2014","8","87"
"Gobierno de Cordoba Argentina","2014","5","77"
"Gobierno de Cordoba Argentina","2014","9","73"
"Gobierno de Cordoba Argentina","2014","11","73"
"Canal 12 Blog","2013","7","72"
"CVA Medios","2013","12","72"
"Gobierno de Cordoba Argentina","2014","7","72"
"Gobierno de Cordoba Argentina","2013","7","71"
"Gobierno de Cordoba Argentina","2013","10","71"
"Gobierno de Cordoba Argentina","2014","4","71"
"Canal 12 Blog","2014","3","69"
"Gobierno de Cordoba Argentina","2013","9","69"
"CVA Medios","2013","11","64"
"Gobierno de Cordoba Argentina","2014","12","62"
"Gobierno de Cordoba Argentina","2014","3","59"
"Gobierno de Cordoba Argentina","2014","6","59"
"Canal 12 Blog","2013","8","53"
"Canal 12 Blog","2014","2","49"
"CVA Medios","2014","4","48"
"CVA Medios","2014","8","47"
"Canal 12 Blog","2013","10","47"
"Canal 12 Blog","2013","9","46"
"Gobierno de Cordoba Argentina","2013","8","46"
"CVA Medios","2014","6","44"
"Canal 12 Blog","2013","11","42"
"CVA Medios","2014","7","38"
"CVA Medios","2014","5","38"
"Gobierno de Cordoba Argentina","2013","11","38"
"CVA Medios","2014","1","37"
"Canal 12 Blog","2014","1","37"
"Canal 12 Blog","2013","12","37"
"Gobierno de Cordoba Argentina","2013","12","37"
"CVA Medios","2014","3","35"
"Gobierno de Cordoba Argentina","2014","2","34"
".Cordoba.Ar","2014","12","29"
"Gobierno de Cordoba Argentina","2014","1","29"
"CVA Medios","2014","10","27"
"Dia a dia cordoba","2013","8","26"
"Dia a dia cordoba","2013","10","25"
"ADN TV","2013","9","25"
"CVA Medios","2014","9","25"
"Zoom Contenidos","2014","10","25"
"Dia a dia cordoba","2014","12","25"
"Dia a dia cordoba","2013","11","25"
"Resumen de TV cordobesa Kakaroto","2014","8","24"
"Dia a dia cordoba","2013","12","22"
"Dia a dia cordoba","2014","3","22"
"CVA Medios","2014","12","21"
".Cordoba.Ar","2014","11","21"
"ADN TV","2013","8","21"
"CVA Medios","2014","2","21"
"Dia a dia cordoba","2014","6","21"
"ADN TV","2013","7","20"
"Dia a dia cordoba","2013","5","20"
"CVA Medios","2013","8","19"
"Zoom Contenidos","2014","9","19"
"Dia a dia cordoba","2013","7","18"
"Resumen de TV cordobesa Kakaroto","2013","3","18"
"Dia a dia cordoba","2014","4","18"
"CVA Medios","2014","11","18"
"Resumen de TV cordobesa Kakaroto","2014","9","18"
"Dia a dia cordoba","2014","11","18"
"Dia a dia cordoba","2014","9","17"
"Dia a dia cordoba","2013","9","17"
"Zoom Contenidos","2014","12","17"
"Dia a dia cordoba","2014","7","16"
"Dia a dia cordoba","2014","10","15"
"Dia a dia cordoba","2013","6","15"
"Resumen de TV cordobesa Kakaroto","2014","6","13"
"Dia a dia cordoba","2014","5","13"
"Resumen de TV cordobesa Kakaroto","2013","12","13"
"Resumen de TV cordobesa Kakaroto","2013","2","11"
"Mariano Saravia","2014","12","11"
"Hoy no duermo en casa","2013","9","10"
"Resumen de TV cordobesa Kakaroto","2014","7","10"
"Dia a dia cordoba","2014","2","10"
"Dia a dia cordoba","2014","8","10"
"Mariano Saravia","2014","7","9"
"Canal 10 de Cordoba","2013","6","9"
"Resumen de TV cordobesa Kakaroto","2013","10","9"
"ADN TV","2013","10","9"
"Resumen de TV cordobesa Kakaroto","2010","9","9"
"Resumen de TV cordobesa Kakaroto","2013","8","9"
"Resumen de TV cordobesa Kakaroto","2014","12","9"
"Dia a dia cordoba","2014","1","8"
"Hoy no duermo en casa","2013","8","8"
"Resumen de TV cordobesa Kakaroto","2013","1","8"
"Resumen de TV cordobesa Kakaroto","2014","1","8"
"Resumen de TV cordobesa Kakaroto","2014","3","8"
"Resumen de TV cordobesa Kakaroto","2013","9","8"
"ADN TV","2014","7","8"
"ADN TV","2013","11","7"
"Gobierno de Cordoba Argentina","2013","6","7"
"ADN TV","2014","5","7"
"Hoy no duermo en casa","2013","11","7"
"ADN TV","2014","4","6"
"ADN TV","2014","12","6"
"Canal 10 de Cordoba","2013","2","6"
"Resumen de TV cordobesa Kakaroto","2014","10","6"
"Hoy no duermo en casa","2014","6","6"
"Gobierno de Cordoba Argentina","2012","4","6"
"Hoy no duermo en casa","2013","10","5"
"Hoy no duermo en casa","2014","7","5"
"Hoy no duermo en casa","2013","12","5"
"Resumen de TV cordobesa Kakaroto","2013","6","5"
"Gobierno de Cordoba Argentina","2012","10","5"
"ADN TV","2014","11","5"
"Canal 12 Blog","2011","4","5"
"Gobierno de Cordoba Argentina","2013","1","5"
"Gobierno de Cordoba Argentina","2013","3","5"
"Canal 10 de Cordoba","2012","10","5"
"ADN TV","2014","6","5"
"Canal 10 de Cordoba","2013","1","5"
"Hoy no duermo en casa","2013","7","5"
"ADN TV","2014","10","4"
"Canal 12 Blog","2013","6","4"
"Canal 12 Blog","2012","12","4"
"Dia a dia cordoba","2012","1","4"
"Resumen de TV cordobesa Kakaroto","2013","7","4"
"ADN TV","2014","9","4"
"Resumen de TV cordobesa Kakaroto","2014","11","4"
"Mariano Saravia","2014","11","4"
"ADN TV","2013","6","4"
"Hoy no duermo en casa","2014","11","4"
"Dia a dia cordoba","2012","6","4"
