"Resumen de TV cordobesa Kakaroto","2016","5","11"
".Cordoba.Ar","2016","3","11"
"Resumen de TV cordobesa Kakaroto","2015","5","10"
"CVA Medios","2015","12","10"
".Cordoba.Ar","2016","4","9"
"Juan Manuel Lucero","2015","7","9"
"ADN TV","2015","4","9"
".Cordoba.Ar","2016","9","9"
"Dia a dia cordoba","2015","6","8"
"Resumen de TV cordobesa Kakaroto","2015","9","8"
".Cordoba.Ar","2016","12","8"
"Gobierno de Cordoba Argentina","2016","7","7"
"Dia a dia cordoba","2015","11","7"
"Resumen de TV cordobesa Kakaroto","2015","2","6"
"Resumen de TV cordobesa Kakaroto","2015","3","6"
"Hoy no duermo en casa","2016","6","6"
"CVA Medios","2015","1","6"
"Resumen de TV cordobesa Kakaroto","2015","11","6"
"CVA Medios","2016","3","6"
"Mariano Saravia","2015","1","6"
"Resumen de TV cordobesa Kakaroto","2016","1","6"
"Hoy no duermo en casa","2015","9","5"
"Resumen de TV cordobesa Kakaroto","2016","11","5"
"Mariano Saravia","2015","6","5"
"Juan Manuel Lucero","2016","4","5"
"Hoy no duermo en casa","2015","6","5"
"Juan Manuel Lucero","2016","7","5"
"Hoy no duermo en casa","2016","5","5"
"Juan Manuel Lucero","2015","5","5"
"Dia a dia cordoba","2016","10","5"
"Resumen de TV cordobesa Kakaroto","2016","3","5"
"Juan Manuel Lucero","2015","1","4"
"Hoy no duermo en casa","2016","10","4"
"CVA Medios","2016","9","4"
"Hoy no duermo en casa","2015","10","4"
"Resumen de TV cordobesa Kakaroto","2015","12","4"
"Canal 12 Blog","2015","8","4"
"Canal 12 Blog","2015","6","4"
"Dia a dia cordoba","2015","9","4"
"Juan Manuel Lucero","2015","4","4"
"Juan Manuel Lucero","2015","3","4"
"Gobierno de Cordoba Argentina","2016","8","3"
"Juan Manuel Lucero","2016","2","3"
"CVA Medios","2015","3","3"
"CVA Medios","2016","6","3"
"Dia a dia cordoba","2015","10","3"
"Juan Manuel Lucero","2016","8","3"
".Cordoba.Ar","2016","1","3"
"Juan Manuel Lucero","2015","11","3"
"CVA Medios","2016","1","3"
"Juan Manuel Lucero","2015","6","3"
"CVA Medios","2016","5","3"
"Canal 12 Blog","2016","3","3"
"Juan Manuel Lucero","2015","8","2"
"CVA Medios","2016","11","2"
"Hoy no duermo en casa","2015","12","2"
"Canal 12 Blog","2016","4","2"
"Hoy no duermo en casa","2016","2","2"
"Mariano Saravia","2016","6","2"
"CVA Medios","2015","7","2"
"Hoy no duermo en casa","2016","9","2"
"Hoy no duermo en casa","2015","7","2"
"CVA Medios","2016","2","2"
"Juan Manuel Lucero","2016","6","2"
"Hoy no duermo en casa","2015","1","2"
"Hoy no duermo en casa","2016","3","2"
"Mariano Saravia","2016","7","2"
"Juan Manuel Lucero","2015","2","2"
"Juan Manuel Lucero","2015","9","2"
"Dia a dia cordoba","2016","2","1"
"CVA Medios","2016","7","1"
"Dia a dia cordoba","2015","8","1"
"Canal 12 Blog","2015","7","1"
"CVA Medios","2016","4","1"
"Dia a dia cordoba","2016","8","1"
"CVA Medios","2015","8","1"
"Hoy no duermo en casa","2015","3","1"
"Hoy no duermo en casa","2015","8","1"
"Hoy no duermo en casa","2016","4","1"
".Cordoba.Ar","2016","2","1"
"Dia a dia cordoba","2016","1","1"
"Juan Manuel Lucero","2016","12","1"
"Juan Manuel Lucero","2016","5","1"
"Mariano Saravia","2016","12","1"
"Hoy no duermo en casa","2015","11","1"
"Dia a dia cordoba","2016","3","1"
".Cordoba.Ar","2015","1","1"
"Canal 12 Blog","2015","11","1"
"Mariano Saravia","2016","10","1"
"Hoy no duermo en casa","2015","5","1"
"Hoy no duermo en casa","2015","2","1"
"ADN TV","2015","5","1"
"nombre","anio","mes","total"
"Canal 10 de Cordoba","2017","6","721"
"Canal 10 de Cordoba","2017","8","659"
"Canal 10 de Cordoba","2017","5","635"
"Canal 10 de Cordoba","2017","9","624"
"Canal 10 de Cordoba","2017","7","601"
"Canal 10 de Cordoba","2017","4","498"
"Canal 10 de Cordoba","2017","3","473"
"Canal 10 de Cordoba","2017","10","294"
"Canal 10 de Cordoba","2017","2","265"
"Canal 10 de Cordoba","2017","1","263"
"Gobierno de Cordoba Argentina","2017","9","167"
"Gobierno de Cordoba Argentina","2017","8","156"
"Canal 10 de Cordoba","2017","12","123"
"Gobierno de Cordoba Argentina","2017","6","103"
"Gobierno de Cordoba Argentina","2017","7","94"
"Gobierno de Cordoba Argentina","2017","5","93"
"Gobierno de Cordoba Argentina","2017","3","81"
"Gobierno de Cordoba Argentina","2017","12","79"
"Resumen de TV cordobesa Kakaroto","2017","12","70"
"Resumen de TV cordobesa Kakaroto","2017","9","69"
"Gobierno de Cordoba Argentina","2017","4","68"
"Gobierno de Cordoba Argentina","2017","1","54"
"Gobierno de Cordoba Argentina","2017","10","49"
"Bipolares FM","2017","8","41"
"Bipolares FM","2017","9","41"
"Gobierno de Cordoba Argentina","2017","2","36"
"Bipolares FM","2017","11","36"
"Municipalidad de Cordoba","2017","12","32"
"Canal C","2017","12","32"
"Canal 10 de Cordoba","2017","11","30"
"Bipolares FM","2017","10","28"
"ShowSport","2017","11","24"
"Bipolares FM","2017","12","21"
"Resumen de TV cordobesa Kakaroto","2017","10","19"
"Resumen de TV cordobesa Kakaroto","2017","6","19"
".Cordoba.Ar","2017","9","18"
".Cordoba.Ar","2017","6","18"
"Resumen de TV cordobesa Kakaroto","2017","11","17"
".Cordoba.Ar","2017","7","17"
"Resumen de TV cordobesa Kakaroto","2017","7","17"
"Dia a dia cordoba","2017","4","16"
"Dia a dia cordoba","2017","3","16"
"Canal 12 Blog","2017","9","15"
"Teleocho Noticias","2017","12","15"
"Canal 12 Blog","2017","7","15"
"Resumen de TV cordobesa Kakaroto","2017","1","14"
"Resumen de TV cordobesa Kakaroto","2017","4","13"
"Canal 12 Blog","2017","11","13"
".Cordoba.Ar","2017","3","13"
"Bipolares FM","2017","5","13"
".Cordoba.Ar","2017","8","13"
"Luis Zegarra","2017","12","13"
".Cordoba.Ar","2017","4","13"
"Resumen de TV cordobesa Kakaroto","2017","5","12"
"Resumen de TV cordobesa Kakaroto","2017","3","12"
"ShowSport","2017","12","12"
".Cordoba.Ar","2017","2","12"
"Canal 12 Blog","2017","8","11"
".Cordoba.Ar","2017","5","11"
".Cordoba.Ar","2017","12","11"
"Luis Zegarra","2017","8","11"
"Luis Zegarra","2017","9","10"
".Cordoba.Ar","2017","11","10"
"Luis Zegarra","2017","11","10"
"Luis Zegarra","2017","10","9"
"Canal 12 Blog","2017","12","9"
"Resumen de TV cordobesa Kakaroto","2017","2","9"
"Dia a dia cordoba","2017","12","8"
"Resumen de TV cordobesa Kakaroto","2017","8","8"
"Canal 12 Blog","2017","10","8"
".Cordoba.Ar","2017","10","7"
"Bipolares FM","2017","7","6"
"Bipolares FM","2017","3","5"
".Cordoba.Ar","2017","1","5"
"Bipolares FM","2017","4","5"
"Dia a dia cordoba","2017","2","5"
"Bipolares FM","2017","2","5"
"Bipolares FM","2017","1","4"
"CVA Medios","2017","5","3"
"Dia a dia cordoba","2017","1","2"
"Juan Manuel Lucero","2017","5","2"
"Mariano Saravia","2017","3","2"
"Canal 12 Blog","2017","5","1"
"Dia a dia cordoba","2017","9","1"
"Gobierno de Cordoba Argentina","2017","11","1"
"Hoy no duermo en casa","2017","3","1"
"Luis Zegarra","2017","7","1"
"Juan Manuel Lucero","2017","7","1"
"CVA Medios","2017","9","1"
"Juan Manuel Lucero","2017","11","1"
"Juan Manuel Lucero","2017","12","1"
"Dia a dia cordoba","2017","5","1"
"CVA Medios","2017","12","1"
"ShowSport","2017","10","1"
"Juan Manuel Lucero","2017","4","1"
"CVA Medios","2017","8","1"
"Hoy no duermo en casa","2017","2","1"
"Bipolares FM","2017","6","1"
"Mariano Saravia","2017","4","1"
"Canal 12 Blog","2017","6","1"
"Hoy no duermo en casa","2017","8","1"
